"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.190.102.213","128.135.24.73","TCP","78","50190  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1957391309 TSecr=0 SACK_PERM"
"2","0.000111","10.190.102.213","128.135.24.73","TCP","78","50191  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=826560777 TSecr=0 SACK_PERM"
"3","0.015174","10.190.102.213","128.135.24.73","TCP","78","50192  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3219088276 TSecr=0 SACK_PERM"
"4","0.097012","128.135.24.73","10.190.102.213","TCP","66","80  >  50190 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64240 Len=0 MSS=1200 SACK_PERM WS=128"
"5","0.097014","128.135.24.73","10.190.102.213","TCP","66","80  >  50191 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64240 Len=0 MSS=1200 SACK_PERM WS=128"
"6","0.097140","10.190.102.213","128.135.24.73","TCP","54","50190  >  80 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"7","0.097184","10.190.102.213","128.135.24.73","TCP","54","50191  >  80 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"8","0.115087","128.135.24.73","10.190.102.213","TCP","66","443  >  50192 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64240 Len=0 MSS=1200 SACK_PERM WS=128"
"9","0.115227","10.190.102.213","128.135.24.73","TCP","54","50192  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"10","0.115395","10.190.102.213","128.135.24.73","TCP","1254","50192  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1200 [TCP PDU reassembled in 11]"
"11","0.115403","10.190.102.213","128.135.24.73","TLSv1.2","621","Client Hello (SNI=www.cs.uchicago.edu)"
"12","0.213429","128.135.24.73","10.190.102.213","TCP","56","443  >  50192 [ACK] Seq=1 Ack=1768 Win=63616 Len=0"
"13","0.213431","128.135.24.73","10.190.102.213","TLSv1.2","1254","Server Hello"
"14","0.213432","128.135.24.73","10.190.102.213","TCP","1254","443  >  50192 [PSH, ACK] Seq=1201 Ack=1768 Win=64128 Len=1200 [TCP PDU reassembled in 16]"
"15","0.213433","128.135.24.73","10.190.102.213","TCP","1254","443  >  50192 [ACK] Seq=2401 Ack=1768 Win=64128 Len=1200 [TCP PDU reassembled in 16]"
"16","0.213435","128.135.24.73","10.190.102.213","TLSv1.2","226","Certificate, Server Key Exchange, Server Hello Done"
"17","0.213555","10.190.102.213","128.135.24.73","TCP","54","50192  >  443 [ACK] Seq=1768 Ack=3773 Win=258432 Len=0"
"18","0.213622","10.190.102.213","128.135.24.73","TCP","54","[TCP Window Update] 50192  >  443 [ACK] Seq=1768 Ack=3773 Win=262144 Len=0"
"19","0.216180","10.190.102.213","128.135.24.73","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"20","0.216328","10.190.102.213","128.135.24.73","TLSv1.2","153","Application Data"
"21","0.216370","10.190.102.213","128.135.24.73","TLSv1.2","630","Application Data"
"22","0.314134","128.135.24.73","10.190.102.213","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"23","0.314137","128.135.24.73","10.190.102.213","TLSv1.2","123","Application Data"
"24","0.314138","128.135.24.73","10.190.102.213","TCP","56","443  >  50192 [ACK] Seq=4116 Ack=2536 Win=64128 Len=0"
"25","0.314139","128.135.24.73","10.190.102.213","TLSv1.2","183","Application Data"
"26","0.314140","128.135.24.73","10.190.102.213","TLSv1.2","270","Application Data"
"27","0.314592","10.190.102.213","128.135.24.73","TCP","54","50192  >  443 [ACK] Seq=2536 Ack=4116 Win=261824 Len=0"
"28","0.314605","10.190.102.213","128.135.24.73","TCP","54","50192  >  443 [ACK] Seq=2536 Ack=4461 Win=261504 Len=0"
"29","0.315483","10.190.102.213","128.135.24.73","TLSv1.2","92","Application Data"
"30","0.315498","10.190.102.213","128.135.24.73","TLSv1.2","96","Application Data"
"31","0.412991","128.135.24.73","10.190.102.213","TCP","56","443  >  50192 [ACK] Seq=4461 Ack=2616 Win=64128 Len=0"
